fname,deg
anim_run_angle_-10_qw_0.704_qx_0.704_qy_-0.062_qz_-0.062_dist_7.548.csv,-10
anim_run_angle_-11_qw_0.704_qx_0.704_qy_-0.068_qz_-0.068_dist_7.548.csv,-11
anim_run_angle_-12_qw_0.703_qx_0.703_qy_-0.074_qz_-0.074_dist_7.548.csv,-12
anim_run_angle_-13_qw_0.703_qx_0.703_qy_-0.080_qz_-0.080_dist_7.548.csv,-13
anim_run_angle_-14_qw_0.702_qx_0.702_qy_-0.086_qz_-0.086_dist_7.548.csv,-14
anim_run_angle_-15_qw_0.701_qx_0.701_qy_-0.092_qz_-0.092_dist_7.548.csv,-15
anim_run_angle_-16_qw_0.700_qx_0.700_qy_-0.098_qz_-0.098_dist_7.548.csv,-16
anim_run_angle_-17_qw_0.699_qx_0.699_qy_-0.105_qz_-0.105_dist_7.548.csv,-17
anim_run_angle_-18_qw_0.698_qx_0.698_qy_-0.111_qz_-0.111_dist_7.548.csv,-18
anim_run_angle_-19_qw_0.697_qx_0.697_qy_-0.117_qz_-0.117_dist_7.548.csv,-19
anim_run_angle_-1_qw_0.707_qx_0.707_qy_-0.006_qz_-0.006_dist_7.548.csv,-1
anim_run_angle_-20_qw_0.696_qx_0.696_qy_-0.123_qz_-0.123_dist_7.548.csv,-20
anim_run_angle_-21_qw_0.695_qx_0.695_qy_-0.129_qz_-0.129_dist_7.548.csv,-21
anim_run_angle_-22_qw_0.694_qx_0.694_qy_-0.135_qz_-0.135_dist_7.548.csv,-22
anim_run_angle_-23_qw_0.693_qx_0.693_qy_-0.141_qz_-0.141_dist_7.548.csv,-23
anim_run_angle_-24_qw_0.692_qx_0.692_qy_-0.147_qz_-0.147_dist_7.548.csv,-24
anim_run_angle_-25_qw_0.690_qx_0.690_qy_-0.153_qz_-0.153_dist_7.548.csv,-25
anim_run_angle_-26_qw_0.689_qx_0.689_qy_-0.159_qz_-0.159_dist_7.548.csv,-26
anim_run_angle_-27_qw_0.688_qx_0.688_qy_-0.165_qz_-0.165_dist_7.548.csv,-27
anim_run_angle_-28_qw_0.686_qx_0.686_qy_-0.171_qz_-0.171_dist_7.548.csv,-28
anim_run_angle_-29_qw_0.685_qx_0.685_qy_-0.177_qz_-0.177_dist_7.548.csv,-29
anim_run_angle_-2_qw_0.707_qx_0.707_qy_-0.012_qz_-0.012_dist_7.548.csv,-2
anim_run_angle_-30_qw_0.683_qx_0.683_qy_-0.183_qz_-0.183_dist_7.548.csv,-30
anim_run_angle_-31_qw_0.681_qx_0.681_qy_-0.189_qz_-0.189_dist_7.548.csv,-31
anim_run_angle_-32_qw_0.680_qx_0.680_qy_-0.195_qz_-0.195_dist_7.548.csv,-32
anim_run_angle_-33_qw_0.678_qx_0.678_qy_-0.201_qz_-0.201_dist_7.548.csv,-33
anim_run_angle_-34_qw_0.676_qx_0.676_qy_-0.207_qz_-0.207_dist_7.548.csv,-34
anim_run_angle_-35_qw_0.674_qx_0.674_qy_-0.213_qz_-0.213_dist_7.548.csv,-35
anim_run_angle_-36_qw_0.672_qx_0.672_qy_-0.219_qz_-0.219_dist_7.548.csv,-36
anim_run_angle_-37_qw_0.671_qx_0.671_qy_-0.224_qz_-0.224_dist_7.548.csv,-37
anim_run_angle_-38_qw_0.669_qx_0.669_qy_-0.230_qz_-0.230_dist_7.548.csv,-38
anim_run_angle_-39_qw_0.667_qx_0.667_qy_-0.236_qz_-0.236_dist_7.548.csv,-39
anim_run_angle_-3_qw_0.707_qx_0.707_qy_-0.019_qz_-0.019_dist_7.548.csv,-3
anim_run_angle_-40_qw_0.664_qx_0.664_qy_-0.242_qz_-0.242_dist_7.548.csv,-40
anim_run_angle_-41_qw_0.662_qx_0.662_qy_-0.248_qz_-0.248_dist_7.548.csv,-41
anim_run_angle_-42_qw_0.660_qx_0.660_qy_-0.253_qz_-0.253_dist_7.548.csv,-42
anim_run_angle_-43_qw_0.658_qx_0.658_qy_-0.259_qz_-0.259_dist_7.548.csv,-43
anim_run_angle_-44_qw_0.656_qx_0.656_qy_-0.265_qz_-0.265_dist_7.548.csv,-44
anim_run_angle_-45_qw_0.653_qx_0.653_qy_-0.271_qz_-0.271_dist_7.548.csv,-45
anim_run_angle_-46_qw_0.651_qx_0.651_qy_-0.276_qz_-0.276_dist_7.548.csv,-46
anim_run_angle_-47_qw_0.648_qx_0.648_qy_-0.282_qz_-0.282_dist_7.548.csv,-47
anim_run_angle_-48_qw_0.646_qx_0.646_qy_-0.288_qz_-0.288_dist_7.548.csv,-48
anim_run_angle_-49_qw_0.643_qx_0.643_qy_-0.293_qz_-0.293_dist_7.548.csv,-49
anim_run_angle_-4_qw_0.707_qx_0.707_qy_-0.025_qz_-0.025_dist_7.548.csv,-4
anim_run_angle_-50_qw_0.641_qx_0.641_qy_-0.299_qz_-0.299_dist_7.548.csv,-50
anim_run_angle_-51_qw_0.638_qx_0.638_qy_-0.304_qz_-0.304_dist_7.548.csv,-51
anim_run_angle_-52_qw_0.636_qx_0.636_qy_-0.310_qz_-0.310_dist_7.548.csv,-52
anim_run_angle_-53_qw_0.633_qx_0.633_qy_-0.316_qz_-0.316_dist_7.548.csv,-53
anim_run_angle_-54_qw_0.630_qx_0.630_qy_-0.321_qz_-0.321_dist_7.548.csv,-54
anim_run_angle_-55_qw_0.627_qx_0.627_qy_-0.327_qz_-0.327_dist_7.548.csv,-55
anim_run_angle_-56_qw_0.624_qx_0.624_qy_-0.332_qz_-0.332_dist_7.548.csv,-56
anim_run_angle_-57_qw_0.621_qx_0.621_qy_-0.337_qz_-0.337_dist_7.548.csv,-57
anim_run_angle_-58_qw_0.618_qx_0.618_qy_-0.343_qz_-0.343_dist_7.548.csv,-58
anim_run_angle_-59_qw_0.615_qx_0.615_qy_-0.348_qz_-0.348_dist_7.548.csv,-59
anim_run_angle_-5_qw_0.706_qx_0.706_qy_-0.031_qz_-0.031_dist_7.548.csv,-5
anim_run_angle_-60_qw_0.612_qx_0.612_qy_-0.354_qz_-0.354_dist_7.548.csv,-60
anim_run_angle_-61_qw_0.609_qx_0.609_qy_-0.359_qz_-0.359_dist_7.548.csv,-61
anim_run_angle_-62_qw_0.606_qx_0.606_qy_-0.364_qz_-0.364_dist_7.548.csv,-62
anim_run_angle_-63_qw_0.603_qx_0.603_qy_-0.369_qz_-0.369_dist_7.548.csv,-63
anim_run_angle_-64_qw_0.600_qx_0.600_qy_-0.375_qz_-0.375_dist_7.548.csv,-64
anim_run_angle_-65_qw_0.596_qx_0.596_qy_-0.380_qz_-0.380_dist_7.548.csv,-65
anim_run_angle_-66_qw_0.593_qx_0.593_qy_-0.385_qz_-0.385_dist_7.548.csv,-66
anim_run_angle_-67_qw_0.590_qx_0.590_qy_-0.390_qz_-0.390_dist_7.548.csv,-67
anim_run_angle_-68_qw_0.586_qx_0.586_qy_-0.395_qz_-0.395_dist_7.548.csv,-68
anim_run_angle_-69_qw_0.583_qx_0.583_qy_-0.401_qz_-0.401_dist_7.548.csv,-69
anim_run_angle_-6_qw_0.706_qx_0.706_qy_-0.037_qz_-0.037_dist_7.548.csv,-6
anim_run_angle_-70_qw_0.579_qx_0.579_qy_-0.406_qz_-0.406_dist_7.548.csv,-70
anim_run_angle_-71_qw_0.576_qx_0.576_qy_-0.411_qz_-0.411_dist_7.548.csv,-71
anim_run_angle_-72_qw_0.572_qx_0.572_qy_-0.416_qz_-0.416_dist_7.548.csv,-72
